X,Y,VWC,DEM_QGIS,ProfCurv,Slope,PlnCurv,TPI,TWI,Texture,NDVI
896389.4308,4645428.734,0.299,225.3589935,9.90564E-05,1.197960019,7.36596E-05,-0.0149231,9.352919579,2,0.065221898
896210.2784,4645501.173,0.362,224.3150024,7.28959E-05,0.934561014,6.00954E-05,0.022613499,9.59720993,1,0.083471499
895496.9847,4645127.769,0.352,225.1089935,-8.92554E-05,0.965137005,-0.000128021,-0.013443,9.472100258,1,0.076218203
896160.2991,4645027.199,0.462,225.522995,5.68083E-08,0,-2.29524E-07,3.05176E-05,11.16600037,1,0.0762197
896030.9505,4645075.023,0.378,225.522995,9.07591E-07,0,1.33772E-06,3.05176E-05,11.16600037,1,0.079098701
896267.2957,4645437.661,0.366,224.8320007,-6.52255E-05,0.976220012,-6.39661E-05,-0.0147858,9.243320465,2,0.064129703
896151.3499,4645346.601,0.303,225.4450073,0.000156,1.026239991,2.27615E-05,0.00849915,9.487719536,1,0.066483498
895859.9926,4644879.411,0.347,225.7149963,2.6147E-05,0.094071299,5.50295E-05,-0.0129089,9.875229836,1,0.059631102
895750.7198,4644884.78,0.349,226.0169983,-5.06579E-06,0.288587987,4.01271E-05,-0.0259705,10.11250019,1,0.0697736
895599.2153,4644913.178,0.469,226.1329956,0.000134204,0.167144999,4.52475E-05,-0.034805302,9.924050331,1,0.085153498
895438.9669,4644894.981,0.388,225.7279968,-4.14797E-05,0.293403,1.3327E-05,-0.018951399,9.519579887,1,0.073671997
895374.9289,4644981.478,0.379,225.2220001,-0.000165848,0.751254976,-0.000173193,-0.0173645,9.597080231,1,0.0625192
895310.2307,4645046.585,0.349,225.2120056,0.000117664,0.764095008,6.80058E-05,0.00872803,9.65939045,1,0.096558899
895220.484,4645083.686,0.393,225.0549927,-0.00016066,0.732722998,-0.000121386,-0.031661998,9.369859695,1,0.085840702
895375.074,4644824.892,0.378,225.8679962,0.000130459,0.612581015,0.000175594,-0.023941001,9.556070328,1,0.0817426
895540.8021,4645010.819,0.387,225.7550049,8.82191E-05,0.90396899,1.85194E-05,-0.049545299,9.459609985,1,0.086561002
895521.0332,4644837.959,0.381,226.2480011,4.45864E-05,0.939810991,6.56064E-05,0.0104675,9.132390022,2,0.075475901
895728.9822,4644967.748,0.4,226.0379944,1.88174E-05,0.517858982,2.97157E-05,0.054046601,9.826199532,1,0.083551399
895653.5183,4645055.774,0.396,225.8200073,-2.46622E-06,0.53480798,4.85814E-05,0.0445709,9.654140472,1,0.089060001
895722.7666,4645175.063,0.275,225.522995,0.000160915,0.037094802,8.93503E-05,-0.00216675,10.93589973,1,0.082960799
895567.1767,4645235.419,0.398,224.576004,-2.21068E-05,0.989351988,-8.77405E-05,0.0122528,9.538660049,1,0.089065097
895824.8142,4644966.893,0.413,225.7100067,5.0668E-05,0.196707994,4.91619E-05,-0.029068001,9.906270027,1,0.070496
895844.4394,4645075.683,0.25,225.6230011,-9.47347E-05,0.201778993,2.54756E-05,0.011261,10.43029976,1,0.077576198
895941.4148,4645158.143,0.333,225.4320068,5.39522E-05,0.424120009,-0.000215442,-0.0189209,10.06260014,1,0.075595997
895876.8617,4645237.18,0.349,224.9409943,1.20061E-05,0.861617029,-0.000113218,-0.040924098,9.63173008,1,0.062765703
895791.5077,4645174.556,0.431,225.3670044,-5.37842E-05,1.148079991,-1.82384E-05,-0.0071106,9.507390022,2,0.066153601
896003.2179,4645273.925,0.399,225.522995,0.000268062,0,8.28973E-05,3.05176E-05,11.16489983,1,0.075793803
895421.6094,4645331.926,0.348,223.2859955,0.000139589,0.897749007,8.28694E-05,-0.0101776,9.722519875,2,0.064391203
895527.3976,4645326.668,0.377,223.4440002,2.42535E-05,1.102149963,8.56253E-06,-0.00886536,9.692540169,1,0.077162199
895674.4654,4645340.421,0.232,223.526001,1.71545E-05,1.366469979,-6.4306E-05,0.00961304,9.541520119,2,0.073090799
895518.875,4645417.491,0.202,222.625,-9.09762E-05,0.788093984,-0.00014789,0.0304718,9.807299614,1,0.0772845
895609.3662,4645400.243,0.331,222.8450012,-3.34979E-05,0.415362,0.000256129,-0.0323334,9.883600235,1,0.080829799
895693.0395,4645484.743,0.355,222.548996,-3.42512E-05,1.117959976,9.26292E-05,-0.022933999,9.900400162,2,0.070778601
895807.6287,4645346.285,0.267,224.227005,0.00012738,0.568790019,-2.68596E-05,0.037582401,9.865739822,1,0.074294999
895951.2536,4645359.544,0.383,224.8179932,-7.58181E-05,0.694504023,1.03203E-06,0.0148773,9.591719627,1,0.07045
895780.3085,4645442.25,0.273,223.2799988,-9.73467E-06,1.054350019,-7.95595E-05,-0.103928,9.599419594,1,0.070702203
895905.9919,4645432.845,0.393,224.6260071,-9.48062E-05,2.722270012,5.85358E-05,-0.080917403,8.719610214,1,0.079962097
895856.8487,4645546.783,0.375,223.7890015,-0.000235443,1.55419004,0.000145631,0.0142059,8.884989738,1,0.076741897
895982.4621,4645509.522,0.379,225.3710022,0.000371514,1.881600022,0.000143525,0.054824799,8.805700302,1,0.080956399
895963.0966,4645591.385,0.389,223.6620026,-0.000270616,2.526789904,-6.27261E-05,0.050933801,8.378109932,1,0.079865903
896065.6272,4645432.761,0.37,224.6170044,-7.87752E-05,0.528281987,-0.00022745,-0.026489301,9.329330444,2,0.065366298
896097.6397,4645547.505,0.363,223.8869934,0.00016054,1.057970047,5.38007E-05,0.039947499,9.307330132,1,0.080243699
896215.7006,4645591.839,0.39,223.4859924,7.28657E-05,0.714581013,6.82432E-05,0.035827599,9.597359657,1,0.0813585
896293.704,4645574.523,0.445,223.8170013,0.000104196,0.502524972,0.000127416,-0.030075099,9.472960472,1,0.076663896
896272.312,4645676.079,0.348,222.9790039,6.2026E-05,0.930549026,0.000144024,-0.00726318,9.64109993,1,0.0815375
896304.1202,4645375.179,0.362,225.5310059,0.000163834,0.325980008,-4.76225E-06,0.029968301,9.948699951,1,0.071439996
896448.2624,4645511.959,0.398,224.4900055,0.000160398,1.714339972,7.48408E-05,0.00553894,8.575980186,1,0.080702603
896422.468,4645592.843,0.382,223.4660034,-9.41105E-05,0.874086022,-1.85003E-05,0.000656128,8.852919579,1,0.082843199
896384.3587,4645670.565,0.374,222.6750031,1.24254E-05,1.41087997,-0.000206213,0.017806999,8.989020348,1,0.079680502
896227.7707,4645126.123,0.41,225.6230011,-2.58989E-06,0,-4.8369E-06,-1.52588E-05,11.14869976,1,0.072246604
896108.1968,4645112.963,0.397,225.6230011,2.05479E-05,0,1.71042E-05,-1.52588E-05,11.14579964,1,0.089595802
895602.0421,4645153.491,0.409,225.3390045,0.000135604,0.694235027,-2.64473E-05,-0.00946045,9.765669823,1,0.080265701
895347.6906,4645080.234,0.368,224.8970032,6.61047E-06,0.789759994,-6.53339E-05,0.0376129,9.630869865,1,0.072515301
895438.1859,4645204.415,0.369,224.2590027,-9.53174E-05,1.134070039,6.1465E-05,0.00631714,9.472270012,2,0.078708701
895675.4693,4645260.013,0.348,224.6690063,4.48759E-05,0.61075902,-3.29585E-05,-0.00389099,9.449299812,1,0.075001404
895800.9348,4645275.352,0.423,224.595993,-6.20629E-05,0.603231013,-5.81475E-05,-0.0101166,9.633970261,2,0.063905798
896411.8374,4645356.115,0.271,225.7259979,6.71867E-05,0.393656999,8.9294E-05,-0.012146,9.798540115,1,0.080372699
895395.4931,4645273.22,0.36,223.6419983,-4.60956E-05,0.839564979,6.71639E-06,0.0304871,9.646820068,2,0.065546498
895806.7156,4644830.643,0.401,225.9089966,-3.08362E-06,0.648441017,-2.6969E-05,0.00436401,9.658860207,1,0.0674439
895906.3485,4645015.067,0.353,225.522995,4.34625E-07,0,-2.61909E-07,3.05176E-05,11.16600037,2,0.071341999
895474.8691,4645052.335,0.398,225.3350067,0.000131596,0.890543997,0.000101571,-0.052810699,9.623180389,1,0.076793499
896120.8912,4645188.254,0.381,225.6230011,-3.63273E-07,0,-5.00307E-07,-1.52588E-05,11.14869976,1,0.082824498
896203.6725,4645251.358,0.379,225.7700043,3.06924E-05,0.411121994,-2.01567E-05,0.0342407,9.872770309,1,0.077
896028.8495,4645312.182,0.376,225.4720001,0.000134708,0.645546973,8.44689E-05,-0.00357056,9.822259903,1,0.069628499
