Shape,R2
"(5,)",-0.18441432504361788
"(10,)",0.5123862638192968
"(15,)",0.4882619010792335
"(20,)",0.41625792771679804
"(25,)",0.5311154938802264
"(30,)",0.49929762578793135
"(35,)",0.46254354080310567
"(40,)",0.4980908484704545
"(45,)",0.5801923133472757
"(50,)",0.5635648587446678
"(55,)",0.5350146250751502
"(60,)",0.4869200880150505
"(65,)",0.6019311210740415
"(70,)",0.5185982185165043
"(75,)",0.507671229390726
"(80,)",0.40841976885341447
"(85,)",0.5793996620303423
"(90,)",0.5982033955416599
"(95,)",0.5423705836712538
"(5, 5)",0.48689500600666535
"(5, 10)",0.360587504123821
"(5, 15)",0.6254960174670191
"(5, 20)",0.6232981153234498
"(5, 25)",0.6439115138674767
"(5, 30)",0.667401406610393
"(5, 35)",0.6692516040158638
"(5, 40)",0.6235415648072145
"(5, 45)",0.6666955742479264
"(5, 50)",0.6394731396949107
"(5, 55)",0.640974947946674
"(5, 60)",0.6876172071694155
"(5, 65)",0.6332495803510094
"(5, 70)",0.5346658342565522
"(5, 75)",0.577818640374518
"(5, 80)",0.6996211436265707
"(5, 85)",0.6663355891140432
"(5, 90)",0.6568586029488559
"(5, 95)",0.6298524842320643
"(5, 100)",0.7027231555732071
"(10, 5)",0.5236098815164931
"(10, 10)",0.3911573372101219
"(10, 15)",0.3634291394340017
"(10, 20)",0.4750524200680529
"(10, 25)",0.32522955687141497
"(10, 30)",0.4660968173770761
"(10, 35)",0.5473222944445528
"(10, 40)",0.47378049109377984
"(10, 45)",0.586441993208173
"(10, 50)",0.6102184688571474
"(10, 55)",0.5163115714431203
"(10, 60)",0.4463366112929371
"(10, 65)",0.33932861674080583
"(10, 70)",0.5234423207609479
"(10, 75)",0.536579769195065
"(10, 80)",0.47600156115301084
"(10, 85)",0.3754259879720473
"(10, 90)",0.5146495196260246
"(10, 95)",0.43531292507227914
"(10, 100)",0.3569184687830129
"(15, 5)",-0.18844386291701665
"(15, 10)",0.37303995602085016
"(15, 15)",0.4648138078730699
"(15, 20)",0.45131013430968947
"(15, 25)",0.5079643017184131
"(15, 30)",0.4339711850781205
"(15, 35)",0.39403302036999166
"(15, 40)",0.499724469036831
"(15, 45)",0.4772733423542346
"(15, 50)",0.442099190850735
"(15, 55)",0.4719418868489713
"(15, 60)",0.5443518950927259
"(15, 65)",0.4265046634609746
"(15, 70)",0.4853571865657581
"(15, 75)",0.5109979184225169
"(15, 80)",0.3048665429448202
"(15, 85)",0.5635012810553846
"(15, 90)",0.46702512540970875
"(15, 95)",0.571283003678645
"(15, 100)",0.40565688663103516
"(20, 5)",0.29279413189584746
"(20, 10)",0.43215489920176986
"(20, 15)",0.50759223969195
"(20, 20)",0.4708268509648269
"(20, 25)",0.37863811477647624
"(20, 30)",0.36964430790089753
"(20, 35)",0.5486036633851303
"(20, 40)",0.44056230892015336
"(20, 45)",0.4583580284269654
"(20, 50)",0.5016020585369052
"(20, 55)",0.5454163780763017
"(20, 60)",0.5017182568797585
"(20, 65)",0.5362636300882098
"(20, 70)",0.40031260295760773
"(20, 75)",0.4228319456319477
"(20, 80)",0.6060940074193517
"(20, 85)",0.42167077522487717
"(20, 90)",0.5240941064806836
"(20, 95)",0.5675377541259987
"(20, 100)",0.4745879891784306
"(25, 5)",-0.0003944973340617164
"(25, 10)",0.4744819688409171
"(25, 15)",0.44095889744821637
"(25, 20)",0.5319979428852548
"(25, 25)",0.480693167711188
"(25, 30)",0.40574476907416257
"(25, 35)",0.430927224343442
"(25, 40)",0.519574757113068
"(25, 45)",0.33368493221440976
"(25, 50)",0.5016052984136585
"(25, 55)",0.46381463155194147
"(25, 60)",0.3909740787795899
"(25, 65)",0.4552701427710568
"(25, 70)",0.4566928435465507
"(25, 75)",0.41616082284120637
"(25, 80)",0.4340624414834733
"(25, 85)",0.4196207938473806
"(25, 90)",0.4687861815993243
"(25, 95)",0.3226749489586559
"(25, 100)",0.421813305350205
"(30, 5)",0.22627631585766206
"(30, 10)",0.4296665663240228
"(30, 15)",0.5896779168700726
"(30, 20)",0.5912376363754062
"(30, 25)",0.3806422701695743
"(30, 30)",0.5288927575278344
"(30, 35)",0.49244770514400427
"(30, 40)",0.34450123571030933
"(30, 45)",0.43745985859666314
"(30, 50)",0.3202304504508452
"(30, 55)",0.564141102973466
"(30, 60)",0.3657189985246513
"(30, 65)",0.41938965620509583
"(30, 70)",0.42374141962145906
"(30, 75)",0.44861910310519015
"(30, 80)",0.4446602639256628
"(30, 85)",0.49475357371737017
"(30, 90)",0.36581237045233195
"(30, 95)",0.2334067249718772
"(30, 100)",0.2505417972324059
"(35, 5)",0.4803155456789291
"(35, 10)",0.412457971265104
"(35, 15)",0.45877762566315183
"(35, 20)",0.4144643199576996
"(35, 25)",0.4388116096518395
"(35, 30)",0.21764772698059331
"(35, 35)",0.41860880479392504
"(35, 40)",0.019076658932013157
"(35, 45)",0.3346103383461815
"(35, 50)",0.3324685365254808
"(35, 55)",0.30783684920708265
"(35, 60)",0.20340727426496363
"(35, 65)",0.16207208218012892
"(35, 70)",0.13194437245228274
"(35, 75)",0.1836516004067411
"(35, 80)",0.19418029276632032
"(35, 85)",0.276979836113588
"(35, 90)",0.3459467946018997
"(35, 95)",0.3492638622325166
"(35, 100)",0.3096544774612475
"(40, 5)",0.45221695557841235
"(40, 10)",0.34142078294851097
"(40, 15)",0.42220923501811247
"(40, 20)",0.5255649197004578
"(40, 25)",0.5156402294653772
"(40, 30)",0.33372913943371263
"(40, 35)",0.3741403274208569
"(40, 40)",0.3623882089042456
"(40, 45)",0.39770927941522083
"(40, 50)",0.42531793796047634
"(40, 55)",0.40658348553745904
"(40, 60)",0.29731981086943393
"(40, 65)",0.43370296003396236
"(40, 70)",0.3353852027202401
"(40, 75)",0.28929255916868557
"(40, 80)",0.3631734307663379
"(40, 85)",0.41881644895158643
"(40, 90)",0.40743538714945227
"(40, 95)",0.39773424328419726
"(40, 100)",0.38626739643894115
"(45, 5)",0.49978761967437413
"(45, 10)",0.4560203905815262
"(45, 15)",0.4447276927359384
"(45, 20)",0.44228163271279275
"(45, 25)",0.4221421497603782
"(45, 30)",0.4182913356835034
"(45, 35)",0.35953203674188294
"(45, 40)",0.310930889014322
"(45, 45)",0.4510519155914412
"(45, 50)",0.3689301667805809
"(45, 55)",0.3584685080620631
"(45, 60)",0.346900244462814
"(45, 65)",0.4117975144496445
"(45, 70)",0.33778055746339186
"(45, 75)",0.3724895103621777
"(45, 80)",0.3578574652058666
"(45, 85)",0.2356752271058964
"(45, 90)",0.35648014594087796
"(45, 95)",0.2642344271737973
"(45, 100)",0.2865968666219533
"(50, 5)",0.38012608697531536
"(50, 10)",0.600833481248596
"(50, 15)",0.6182271463896076
"(50, 20)",0.554991855706473
"(50, 25)",0.5990739291403451
"(50, 30)",0.529826566018668
"(50, 35)",0.5684789124409866
"(50, 40)",0.5474459687704547
"(50, 45)",0.431562722750817
"(50, 50)",0.4269356409405872
"(50, 55)",0.5116155430323204
"(50, 60)",0.49312858045548114
"(50, 65)",0.4997626376758072
"(50, 70)",0.5271763984311655
"(50, 75)",0.4635407725960996
"(50, 80)",0.5268539436268658
"(50, 85)",0.47568766141453767
"(50, 90)",0.42862161850535496
"(50, 95)",0.4793348393066651
"(50, 100)",0.4813982115947445
"(55, 5)",0.5478285795124394
"(55, 10)",0.22358977921690681
"(55, 15)",0.430229617366377
"(55, 20)",0.5005863055147017
"(55, 25)",0.5170944927838481
"(55, 30)",0.46042720794985925
"(55, 35)",0.39482359166256864
"(55, 40)",0.4654925562767599
"(55, 45)",0.3636559119385744
"(55, 50)",0.49486843661692137
"(55, 55)",0.22869192271385053
"(55, 60)",0.5028273803121901
"(55, 65)",0.44551199640375394
"(55, 70)",0.3095330921991267
"(55, 75)",0.2983710367752074
"(55, 80)",0.34585440361302644
"(55, 85)",0.486532008573648
"(55, 90)",0.4869391901731822
"(55, 95)",0.4539543807572263
"(55, 100)",0.26839990992449025
"(60, 5)",0.5187728240857886
"(60, 10)",0.29774813899938435
"(60, 15)",0.34517380290302146
"(60, 20)",0.4669731405712042
"(60, 25)",0.3747000145982309
"(60, 30)",0.5088949470668238
"(60, 35)",0.5058414620223215
"(60, 40)",0.36630253602932616
"(60, 45)",0.4889794350476402
"(60, 50)",0.4267107113090186
"(60, 55)",0.40652338376915986
"(60, 60)",0.5060226439224746
"(60, 65)",0.4887390879596629
"(60, 70)",0.4533329513977421
"(60, 75)",0.37359172995935497
"(60, 80)",0.509583403553491
"(60, 85)",0.3915383400751108
"(60, 90)",0.38995578686849164
"(60, 95)",0.42108613580272014
"(60, 100)",0.48466520991007633
"(65, 5)",0.49422103861769096
"(65, 10)",0.5268921851029758
"(65, 15)",0.5186288595191466
"(65, 20)",0.4042550375922003
"(65, 25)",0.5817250896964538
"(65, 30)",0.3790627175711313
"(65, 35)",0.47962096692575396
"(65, 40)",0.49069793886937985
"(65, 45)",0.3368047196253663
"(65, 50)",0.44647265027064553
"(65, 55)",0.3837815627459661
"(65, 60)",0.4519107043120768
"(65, 65)",0.33144942340915085
"(65, 70)",0.39735003697839466
"(65, 75)",0.43336035005268725
"(65, 80)",0.4602265152987062
"(65, 85)",0.3860941563749226
"(65, 90)",0.4902166770689167
"(65, 95)",0.3933170342935729
"(65, 100)",0.3721525061757218
"(70, 5)",0.1814055121019904
"(70, 10)",0.4343365237275443
"(70, 15)",0.47573849616252273
"(70, 20)",0.5330346163948885
"(70, 25)",0.5132382071898429
"(70, 30)",0.4464180156476585
"(70, 35)",0.5050849138812608
"(70, 40)",0.3737666735541042
"(70, 45)",0.44985202224365517
"(70, 50)",0.4558276383221259
"(70, 55)",0.4517996299877478
"(70, 60)",0.4485516420533946
"(70, 65)",0.39639198549358734
"(70, 70)",0.5157558297694977
"(70, 75)",0.42549539219628996
"(70, 80)",0.4550261799889388
"(70, 85)",0.43458480347101947
"(70, 90)",0.41926454134914193
"(70, 95)",0.4629034806102619
"(70, 100)",0.43192315298481987
"(75, 5)",0.5439982948755171
"(75, 10)",0.37431379851096946
"(75, 15)",0.5330990100446984
"(75, 20)",0.4830540808684236
"(75, 25)",0.5463176343578127
"(75, 30)",0.4839673018191091
"(75, 35)",0.4359672689354809
"(75, 40)",0.4823212931937504
"(75, 45)",0.5027987828215776
"(75, 50)",0.4832749663788748
"(75, 55)",0.44369966125884464
"(75, 60)",0.4143609552633766
"(75, 65)",0.37439216796576735
"(75, 70)",0.43402721737149275
"(75, 75)",0.4011509417245124
"(75, 80)",0.3731190178841617
"(75, 85)",0.4735279602956265
"(75, 90)",0.426420509116735
"(75, 95)",0.4140721840120537
"(75, 100)",0.4879480863712893
"(80, 5)",0.49916977280967234
"(80, 10)",0.5840218735513363
"(80, 15)",0.24801861484324017
"(80, 20)",0.44012275496428466
"(80, 25)",0.5232973349954122
"(80, 30)",0.42130987353771543
"(80, 35)",0.48038973214795966
"(80, 40)",0.4615169578208195
"(80, 45)",0.4975494871194761
"(80, 50)",0.4518721168984303
"(80, 55)",0.47023291672316037
"(80, 60)",0.35367201555659633
"(80, 65)",0.3511685904994435
"(80, 70)",0.36354247785982896
"(80, 75)",0.39555382206688994
"(80, 80)",0.24242929305328387
"(80, 85)",0.34262943209937846
"(80, 90)",0.3680675943213393
"(80, 95)",0.41351438403133456
"(80, 100)",0.3859101728190373
"(85, 5)",0.5324866546914091
"(85, 10)",0.5720427261452783
"(85, 15)",0.5614360372101068
"(85, 20)",0.464777939572391
"(85, 25)",0.45862125930632525
"(85, 30)",0.381153073439663
"(85, 35)",0.4755644201609853
"(85, 40)",0.44707988852392433
"(85, 45)",0.4386044178417713
"(85, 50)",0.3353072048358591
"(85, 55)",0.47732032150381465
"(85, 60)",0.36045935984907984
"(85, 65)",0.45640912552637714
"(85, 70)",0.39690478030187903
"(85, 75)",0.45526628185494367
"(85, 80)",0.4327509665248461
"(85, 85)",0.43975491309147663
"(85, 90)",0.3561088949821912
"(85, 95)",0.3521432832321708
"(85, 100)",0.423591293636126
"(90, 5)",0.28646141751611875
"(90, 10)",0.4934573609598668
"(90, 15)",0.4485229751618567
"(90, 20)",0.5585472951134973
"(90, 25)",0.5107696994032134
"(90, 30)",0.4401411647994854
"(90, 35)",0.48489605796234536
"(90, 40)",0.3939925278815498
"(90, 45)",0.47342635695147395
"(90, 50)",0.34686044255398085
"(90, 55)",0.41330645113031017
"(90, 60)",0.38876452427076247
"(90, 65)",0.37365441914734454
"(90, 70)",0.400244996788755
"(90, 75)",0.3707737190650293
"(90, 80)",0.3631425047667943
"(90, 85)",0.31777014426119576
"(90, 90)",0.4382183847489026
"(90, 95)",0.40837590238454136
"(90, 100)",0.40333894301646256
"(95, 5)",0.3498881979072288
"(95, 10)",0.5076774886479118
"(95, 15)",0.3891294753377754
"(95, 20)",0.4711648362602786
"(95, 25)",0.3040450162486136
"(95, 30)",0.4001746035728947
"(95, 35)",0.46058232181118286
"(95, 40)",0.43706026672569187
"(95, 45)",0.3257808000425536
"(95, 50)",0.38750152899964974
"(95, 55)",0.3379172993034584
"(95, 60)",0.43569117840320326
"(95, 65)",0.39112151488192637
"(95, 70)",0.3076140032732687
"(95, 75)",0.4623413527290151
"(95, 80)",0.39770057550435567
"(95, 85)",0.3780584673915287
"(95, 90)",0.38510820495271325
"(95, 95)",0.3049662847704969
"(95, 100)",0.14560994980319442
"(100, 5)",0.5206292557163749
"(100, 10)",0.5540550444412746
"(100, 15)",0.48839249350241143
"(100, 20)",0.46330960890342243
"(100, 25)",0.48072753655712397
"(100, 30)",0.48900561848478585
"(100, 35)",0.4511992278282564
"(100, 40)",0.464455335813896
"(100, 45)",0.5127050586980103
"(100, 50)",0.4480863514388421
"(100, 55)",0.42440596604004865
"(100, 60)",0.45754533071652226
"(100, 65)",0.4511679801017201
"(100, 70)",0.46722803141974467
"(100, 75)",0.32564361336895975
"(100, 80)",0.4475940762413786
"(100, 85)",0.44548033598413816
"(100, 90)",0.49543436848907607
"(100, 95)",0.5137769957831516
"(100, 100)",0.47163587098979143
